xi,lambda,mu,Q,C,ROI,max_c,cv_c
2,0.25,1394.782598319497,0.09237174309768555,128.8384998490909,29.302347871935876,1.0,2.915722018385921
2,0.5,1317.563595317393,0.08375222920794619,110.34888823106795,31.078290300528966,1.0,3.167217049337454
2,0.75,1234.8373019123414,0.07614057320615643,94.02121998394932,33.22733297297195,1.0,3.4816719207230054
3,0.25,1376.5300290155235,0.08421042904065329,115.91818433074016,29.704152186369313,1.0,2.9784769415916745
3,0.5,1277.5738859453359,0.07061098503483773,90.2107505413856,32.082382134576925,1.0,3.339273281974976
3,0.75,1168.9137435528226,0.059975513320806216,70.10620179732577,35.15766153243972,1.0,3.8362701942402526
